,0
Make_VW,2.213898431484343e-05
Days:Policy-Accident_15 to 30,1.89101430399809e-05
Make_Dodge,1.5048956181446921e-05
Days:Policy-Accident_1 to 7,1.4996609234778218e-05
MaritalStatus_Widow,1.311815298270929e-05
AgeOfVehicle_2 years,1.1885820057181348e-05
deep_feat_21,1.0361754282331181e-05
AgeOfPolicyHolder_18 to 20,9.943824848036942e-06
Make_Lexus,6.137375828313837e-07
Make_BMW,8.609120604748068e-19
Make_Porche,1.0598027915915623e-19
Make_Mecedes,9.809920362367393e-20
Make_Ferrari,9.269062809172109e-20
deep_feat_59,0.0
deep_feat_61,0.0
deep_feat_56,0.0
deep_feat_62,0.0
deep_feat_53,0.0
deep_feat_51,0.0
deep_feat_50,0.0
deep_feat_49,0.0
deep_feat_48,0.0
deep_feat_8,0.0
deep_feat_15,0.0
deep_feat_45,0.0
NumberOfCars_more than 8,0.0
deep_feat_25,0.0
deep_feat_26,0.0
deep_feat_27,0.0
deep_feat_28,0.0
deep_feat_29,0.0
deep_feat_30,0.0
Days:Policy-Claim_none,0.0
Make_Jaguar,0.0
deep_feat_43,0.0
deep_feat_35,0.0
deep_feat_36,0.0
deep_feat_37,0.0
deep_feat_39,0.0
deep_feat_16,0.0
deep_feat_9,0.0
deep_feat_42,0.0
deep_feat_4,0.0
